organisation_name,org_uri_code,effective_date,unique_property_reference_number,unique_asset_id,name_of_building_land_or_both,street_number,street_name,postal_town,uk_postcode,coordinate_reference_system,easting,northing,geopoint_licensing_uri,tenure_type,tenure_detail,other_tenure,holding_type,size_of_building,size_of_land,effective_service_delivery_government_services_function_label,effective_service_delivery_government_services_function_code,purpose,localism_act,total_building_operation_costs,required_maintenance_costs,suitability_rating,energy_performance_dec_rating,title_number,inspire_url
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10024634710","4130","Stratford Upon Avon The Greenway","","Wyre Lane","Stratford-Upon-Avon","CV37 8RQ","OSGB36",415760,248500,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",171.00,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399999","4131","Loxley C.E. Primary School","","Main Road","Loxley","CV35 9JT","OSGB36",425650,252610,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Vested in Trustees","n/a","Land with a permanent building",265.98,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",68238.20,"Not Currently Available","F","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10024634681","4132","Parish Council Allotments","","Moreton Road","Moreton Morrell","CV35 9AR","OSGB36",431060,255880,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land only",0.00,0.1619,"Environmental protection",30,"To Follow","Yes","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10024634682","4133","Land Off Brook Lane","","Brook Lane","Moreton Morrell","CV35 9AT","OSGB36",431528,255914,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land only",0.00,4.5575,"Environmental protection",30,"To Follow","Yes","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10023581195","4135","Moreton Morrell C.E. Primary School (Foundation)","","Moreton Road","Moreton Morrell","CV35 9AN","OSGB36",431170,255820,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Vested in Trustees","n/a","Land with a permanent building",541.77,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",128855.31,"Not Currently Available","F","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10024632776","4140","Northfields Farm","","Shuckburgh Road","Priors Marston","CV47 7RY","OSGB36",449021,258998,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land with a permanent building",3965.18,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",37200.66,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10023587766","4144","Quinton Primary School","","Main Street","Lower Quinton","CV37 8SA","OSGB36",417750,247220,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",1312.96,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",189689.03,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071241909","4148","The Homelands","","Evesham Road","Salford Priors","WR11 8UU","OSGB36",407203,250549,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land with a permanent building",1097.11,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",45788.82,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10024634683","4149","Land at Rushford Plantation","","Salford Road","Pitchill, Salford Priors","WR11 8SN","OSGB36",406259,251174,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land only",0.00,9.8486,"Environmental protection",30,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10023384794","4151","Salford Farm","1","Salford Road","Iron Cross, Salford Priors","WR11 8SH","OSGB36",406156,252372,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land with a permanent building",421.33,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",12771.45,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071241948","4152","Lower Farm","","School Road","Salford Priors","WR11 8XN","OSGB36",406411,251864,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land with a permanent building",1413.33,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",50346.63,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10024634684","4153","Land At Salford Farm (Holding S45/4)","","School Road","Salford Priors","WR11 8XN","OSGB36",406343,252203,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land only",0.00,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10024634686","4154","Park Hall Allotments","","Tothall Lane","Salford Priors","WR11 8XN","OSGB36",406649,251888,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land only",0.00,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071545635","4155","Salford Farm Cottage","","School Road","Salford Priors","WR11 8XN","OSGB36",406412,252065,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land with a permanent building",217.62,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",14211.47,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10024634687","4156","School Allotments","","Ridsdale Close","Salford Priors","WR11 8XP","OSGB36",407200,251820,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land only",0.00,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10024634688","4157","Land At Salford Farm (Holding S45/11)","","School Road","Salford Priors","WR11 8SN","OSGB36",406390,251780,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land only",0.00,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071545639","4158","Salford Priors C.E. Primary School (Academy)","","School Road","Salford Priors","WR11 8XD","OSGB36",407200,251520,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",925.00,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",143221.90,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"200001850481","4159","Dunnington C.of E. (V.A.) Primary School","","Dunnington Road","Dunnington","B49 5NT","OSGB36",406810,253690,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Vested in Trustees","n/a","Land with a permanent building",832.63,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",84314.16,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10023382757","4162","Oldhouse Farm","","Heath End","Snitterfield","CV37 0PL","OSGB36",423197,260669,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land with a permanent building",1933.50,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",22271.37,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10023588112","4163","Oldhouse Farm Cottage","","Heath End","Snitterfield","CV37 0PL","OSGB36",423203,260670,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land with a permanent building",192.43,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",12048.68,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10023588103","4164","Oldhouse Farm, 1 Heath End Cottage  (inc. in 4162)","1","Heath End","Snitterfield","CV37 0PL","OSGB36",422973,260985,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land with a permanent building",125.42,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",74799.63,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10024634690","4166","Land at Oldhouse Farm (Holding S47/3)","","Heath End","Snitterfield","CV37 0PJ","OSGB36",422564,260736,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on a Leasehold or Licence","n/a","Land only",0.00,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071400049","4168","Snitterfield Primary School","","School Road","Snitterfield","CV37 0JL","OSGB36",421300,259910,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",883.35,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",201170.09,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071242806","4173","Southam College (Academy)","","Welsh Road West","Southam","CV47 0JW","OSGB36",441450,262300,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",11243.24,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",1189346.56,"Not Currently Available","B, D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071400067","4174","St James CE Primary School (Academy)","","Tollgate Road","Southam","CV47 1EE","OSGB36",441910,262230,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1042.37,0.0000,"Education and learning",23,"To Follow","Yes","Not Currently Available",370562.49,"Not Currently Available","F","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071400065","4176","Southam Primary School (Academy)","","St James Road","Southam","CV47 0QB","OSGB36",441650,262140,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1929.52,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",479546.60,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"200002868696","4178","St Mary's Catholic Primary School","","Daventry Road","Southam","CV47 1PS","OSGB36",442060,261880,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Vested in Trustees","n/a","Land with a permanent building",1423.10,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",280272.78,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071509345","4180","Southam Library & Tithe Lodge ECH","","High Street","Southam","CV47 0HB","OSGB36",441860,261830,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",290.24,0.0000,"Leisure and culture",72,"To Follow","n/a","Not Currently Available",94552.05,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071400052","4185","Southam Fire Station","","Coventry Street","Southam","CV47 0EL","OSGB36",441900,262080,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",168.21,0.0000,"Community safety",16,"To Follow","n/a","Not Currently Available",72461.07,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100233865240","4187","The Grange","","Coventry Road","Southam","CV47 1QB","OSGB36",441790,262290,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Leasehold","Occupied by the Local Authority","n/a","Land with a permanent building",48.13,0.0000,"Government, citizens and rights",42,"To Follow","Yes","Not Currently Available",14639.79,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10023586470","4191","Shipston High School, Spec. Tech.Coll (Academy)","","Darlingscote Road","Shipston-On-Stour","CV36 4DY","OSGB36",425200,240850,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",6568.32,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",983568.62,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10024634535","4192","The Outhouse at Shipston High School (Academy)","","Darlingscote Road","Shipston-On-Stour","CV36 4DY","OSGB36",425140,240840,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",154.77,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",12183.62,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071400038","4193","Shipston Primary School (Academy)","","Station Road","Shipston-On-Stour","CV36 4BT","OSGB36",425660,240970,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Vested in Trustees","n/a","Land with a permanent building",2350.55,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",774052.13,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071512534","4194","Shipston on Stour Library & Information Centre","12","Church Street","Shipston-On-Stour","CV36 4AP","OSGB36",425910,240570,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Leasehold","Occupied by the Local Authority","n/a","Land with a permanent building",207.84,0.0000,"Leisure and culture",72,"To Follow","n/a","Not Currently Available",18507.90,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071400040","4199","Shipston-On-Stour Fire Station","","Telegraph Street","Shipston-On-Stour","CV36 4DA","OSGB36",425700,240690,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",242.76,0.0000,"Community safety",16,"To Follow","n/a","Not Currently Available",26142.47,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071399866","4204","Shipston-On-Stour Highways Sub-Depot","","Brailes Road","Barcheston","CV36 5AD","OSGB36",426220,240360,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",695.72,0.0000,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",17944.86,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071400080","4206","Stockton Primary School (Academy)","","School Street","Stockton","CV47 8JE","OSGB36",443680,263700,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",815.74,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",77906.53,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10023385523","4208","Stockton Household Waste Recycling Centre","","Napton Road","Stockton","CV47 8LA","OSGB36",443630,264750,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",27.38,0.0000,"Environmental protection",30,"To Follow","n/a","Not Currently Available",6230.85,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10024634692","4209","Stockton Former Landfill Site","","Rugby Road","Stockton","CV47 8LA","OSGB36",443520,264500,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land only",0.00,6.6166,"Government, citizens and rights",42,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"n/a","4210","Stockton Cutting Local Nature Reserve","","Rugby Road","Stockton","n/a","OSGB36",443850,265020,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land only",0.00,0.7757,"Environmental protection",30,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10023753573","4213","Tiddington Land At Knights Lane","","Knights Lane","Tiddington","CV37 7BZ","OSGB36",422230,255150,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land only",0.00,4.4222,"Licences, permits and permissions",82,"To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071400085","4216","Stratford-Upon-Avon School (Academy)","","Alcester Road","Stratford-Upon-Avon","CV37 9DH","OSGB36",419200,255080,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",14892.98,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",1117121.19,"Not Currently Available","B, D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10023585392","4219","The Willows C. of E. Primary School","","The Willows North","Stratford-Upon-Avon","CV37 9QN","OSGB36",419250,254950,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Occupied by the Local Authority","n/a","Land with a permanent building",2679.91,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",448344.16,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071400203","4221","Stratford  Girls' Grammar School (Academy)","","Shottery","Shottery","CV37 9HA","OSGB36",418950,254670,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",7486.03,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",940008.64,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071514872","4223","Bishopton Primary School","","Drayton Avenue","Stratford-Upon-Avon","CV37 9PB","OSGB36",418410,255680,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2359.15,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",491478.35,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071400162","4224","Alveston C.of E. Primary School","","Knights Lane","Tiddington","CV37 7BZ","OSGB36",422260,255330,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",1529.05,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",144546.79,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071400152","4225","Thomas Jolyffe Primary School","","Clopton Road","Stratford-Upon-Avon","CV37 6TE","OSGB36",420050,256040,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2469.74,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",466830.07,"Not Currently Available","E","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"10023385049","4226","Welcombe Hills School  (Blue Cap Road)","","Blue Cap Road","Stratford-Upon-Avon","CV37 6TQ","OSGB36",420160,256140,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",3436.46,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",466137.72,"Not Currently Available","D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071514109","4227","King Edward VI School (Academy)","","Church Street","Stratford-Upon-Avon","CV37 6HB","OSGB36",420080,254680,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Other","Vested in Trustees","n/a","Land with a permanent building",8647.71,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",1223938.08,"Not Currently Available","B, D","To Follow","http://maps.warwickshire.gov.uk/inspire/"
"Warwickshire County Council","http://data.ordnancesurvey.co.uk/id/7000000000010049",24/05/2019,"100071400147","4228","Bridgetown Primary School","","Byron Road","Stratford-Upon-Avon","CV37 7JP","OSGB36",420990,254150,"http://www.ordnancesurvey.co.uk/business-and-government/help-and-support/public-sector/guidance/derived-data-exemptions.html","Freehold","Part or Wholly let out on Leasehold or Licence","n/a","Land with a permanent building",2419.27,0.0000,"Education and learning",23,"To Follow","n/a","Not Currently Available",244127.90,"Not Currently Available","C","To Follow","http://maps.warwickshire.gov.uk/inspire/"
