unique_property_reference_number,unique_asset_id,name_of_building_land_or_both,street_number_or_numbers,street_name,postal_town,uk_postcode,easting,northing,tenure,tenure_characteristics,land_only,size_of_asset,size_units,effective_service_delivery_government_services_function,reason_for_holding_asset,localism_act,total_building_operation_costs,required_maintenance_costs,suitability_rating,energy_performance_dec_rating
10010504277,3116,Bilton Evangelical Church,27,Main Street,"Bilton, Rugby",CV22 7NQ,448200,273620,Leasehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,223.8,Sq.m,"Licences, permits and permissions",To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,3119,Hunters Lane Household Waste Recycling Centre,,Hunters Lane,Rugby,CV21 1EA,450300,276220,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,225.98,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,14994.28,Not Currently Available,n/a
2.00003E+11,3120,Great Central Industrial Estate,1,Great Central Way,Rugby,CV21 3XH,451700,276080,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,2055.96,Sq.m,Transport and highways,To Follow,n/a,Not Currently Available,33264.88,Not Currently Available,n/a
10010507751,3131,Harris High School (Academy) - Caretakers House,11,Harris Drive,Rugby,CV22 6DX,449650,273980,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,118.81,Sq.m,Housing,To Follow,n/a,Not Currently Available,19154.19,Not Currently Available,n/a
1.00071E+11,3144,Rugby Fire Station,,Corporation Street,Rugby,CV21 2DN,450090,275400,Freehold,Occupied by the Local Authority,Land with a permanent building,1331.05,Sq.m,Community safety,To Follow,n/a,Not Currently Available,165580.14,Not Currently Available,C
1.00071E+11,3148,Fawsley House,25,Hillmorton Road,Rugby,CV22 5BX,450950,274880,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1325.18,Sq.m,"Government, citizens and rights",To Follow,n/a,Not Currently Available,359476.34,Not Currently Available,C
1.00072E+11,3150,Bloxham Centre,8,Somers Road,"New Bilton, Rugby",CV22 7DE,448780,275320,Freehold,Occupied by the Local Authority,Land with a permanent building,1446.68,Sq.m,"Government, citizens and rights",To Follow,n/a,Not Currently Available,217875.86,Not Currently Available,E
10010517121,3189,Site of 71-93 Newbold Road,Withheld,Withheld,Withheld,CV21,0,0,Freehold,Vacant,Land only,0.1712,Hectares,"Government, citizens and rights",To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,3197,Manor Farm,,London Road,Ryton-On-Dunsmore,CV8 3ER,439215,273922,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,1724.73,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,94343.83,Not Currently Available,n/a
1.00072E+11,3198,Coney Grey Farm,,Oxford Road,Ryton-On-Dunsmore,CV8 3EJ,437380,274270,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,1602.38,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,170463.02,Not Currently Available,n/a
1.00071E+11,3199,Manor Farm Cottage,,Oxford Road,Ryton-On-Dunsmore,CV8 3EA,437579,274483,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,152.85,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,6980.13,Not Currently Available,n/a
10010517124,3200,Land at Ryton Heath Holding (Manor Farm),,Freeboard Lane,Stretton-On-Dunsmore,CV8 3EQ,439748,273228,Freehold,Part or Wholly let out on a Leasehold or Licence,Land only,9.2803,Hectares,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,3201,Jubilee Cottage (Manor Farm),,London Road,Ryton-On-Dunsmore,CV8 3ER,439362,273788,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,125.86,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,5977.24,Not Currently Available,n/a
10010514094,3202,Jubilee Pools (inc in 3201) (Manor Farm),,London Road,Ryton-On-Dunsmore,CV8 3EQ,439106,273620,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,29.93,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
10010517126,3203,Land at Manor Farm,,London Road,Ryton-On-Dunsmore,CV8 3ET,438810,274860,Freehold,Part or Wholly let out on a Leasehold or Licence,Land only,10.1715,Hectares,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00072E+11,3204,Provost Williams C.E. Primary School,,Sodens Avenue,Ryton-On-Dunsmore,CV8 3FF,438270,274160,Freehold,Occupied by the Local Authority,Land with a permanent building,1147.99,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,357995.2,Not Currently Available,D
10010514345,3205,Ryton Pools Country Park,,Ryton Road,Bubbenhall,CV8 3BG,437047,272439,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,776.31,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,108894.41,Not Currently Available,n/a
1.00072E+11,3210,Knightlow C.E. Primary School,,Hill Crescent,Stretton-On-Dunsmore,CV23 9NF,440850,273060,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1747.57,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,290133.24,Not Currently Available,C
10010513083,3213,Land adj to Former Shilton & Ansty C.E. Annexe,22,Church Road,Shilton,CV7 9HW,440267,284236,Freehold,Part or Wholly let out on Leasehold or Licence,Land only,0.0505,Hectares,"Licences, permits and permissions",To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
10010517129,3214,Land at Mawby's Barn Farm,,Lutterworth Road,Stretton-Under-Fosse,CV23 0PU,443773,280577,Freehold,Part or Wholly let out on a Leasehold or Licence,Land only,19.7088,Hectares,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00072E+11,3215,Barnwells Barn Farm (West),,London Road,Thurlaston,CV23 9LE,446270,271464,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,934.03,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,12890.99,Not Currently Available,n/a
1.00072E+11,3216,Barnwells Barn Farm (East),,London Road,Thurlaston,CV23 9LE,446307,271463,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,1619.85,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,32631.51,Not Currently Available,n/a
10010517135,3217,Draycote Water Country Park,,Draycote Water,Kites Hardwick,CV23 8AE,446698,269157,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,66.41,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,4174.36,Not Currently Available,n/a
10010513341,3220,South Lodge Farm,,Coalpit Lane,Wolston,CV23 9HJ,444453,272536,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,3621.76,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,153.26,Not Currently Available,n/a
10010510754,3221,Open Space Land Let To Wolston Parish Council,,Manor Estate,Wolston,CV8 3GT,440700,275360,Freehold,Part or Wholly let out on Leasehold or Licence,Land only,4.4347,Hectares,"Licences, permits and permissions",To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00072E+11,3223,St Margaret's CE Primary School,,Main Street,Wolston,CV8 3HH,441130,275630,Freehold,Occupied by the Local Authority,Land with a permanent building,1306.96,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,324469.51,Not Currently Available,D
1.00072E+11,3225,Wolston Library & Information Centre,,Warwick Road,Wolston,CV8 3GX,441160,275360,Freehold,Occupied by the Local Authority,Land with a permanent building,156.14,Sq.m,Leisure and culture,To Follow,n/a,Not Currently Available,11733.87,Not Currently Available,n/a
10010517131,3226,Land at Frog Hall (Fosse Way),,Fosse Way,Wolston,CV23 9HU,441500,273750,Freehold,Part or Wholly let out on a Leasehold or Licence,Land only,1.9996,Hectares,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00072E+11,3229,Wolvey CE Primary School,,Bulkington Road,Wolvey,LE10 3LA,442590,287750,Freehold,Occupied by the Local Authority,Land with a permanent building,1479.53,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,626844.59,Not Currently Available,n/a
1.00071E+11,3230,Dunsmore Home Farm,,Lilbourne Road,Clifton Upon Dunsmore,CV23 0BB,454180,276150,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,2039.81,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,51813.84,Not Currently Available,n/a
1.00072E+11,3233,Brownsover Community School,,Webb Drive,"Brownsover, Rugby",CV23 0UP,451750,277660,Freehold,Occupied by the Local Authority,Land with a permanent building,1495.41,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,50859.18,Not Currently Available,D
10010511331,3243,Oakfield Park,32,Bilton Road,Rugby,CV22 7AL,449800,274900,Leasehold,Occupied by the Local Authority,Land with a permanent building,1140.76,Sq.m,"Government, citizens and rights",To Follow,n/a,Not Currently Available,225469.19,Not Currently Available,C
10023583547,4002,Oversley Green Farm,,Old Stratford Road,Oversley Green,B49 6PH,409420,257060,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,1131.82,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,510.86,Not Currently Available,n/a
10023384438,4004,Globe House,5,Priory Road,Alcester,B49 5DZ,408781,257321,Leasehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,637.5,Sq.m,Leisure and culture,To Follow,n/a,Not Currently Available,20397.17,Not Currently Available,D
1.00071E+11,4005,Alcester Grammar School (Academy),,Birmingham Road,"Ragley Mill Lane, Alcester",B49 5ED,408630,257800,Other,Vested in Trustees,Land with a permanent building,10734.26,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,924468.99,Not Currently Available,D
10023388291,4006,Alcester Academy (Academy),,Gerard Road,Alcester,B49 6QQ,409860,258030,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,6789.29,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,779154.29,Not Currently Available,D
1.00071E+11,4007,Our Lady's Catholic Primary School,,St Faiths Road,Alcester,B49 6AG,409010,258010,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,741.35,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,140143.68,Not Currently Available,n/a
1.00071E+11,4008,St. Nicholas C.E. Primary School (Academy),,St Faiths Road,Alcester,B49 6AG,409090,257940,Both Freehold & Leasehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,3007.86,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,453544.7,Not Currently Available,E
1.00071E+11,4009,St Benedict's Catholic High School (Academy),,Kinwarton Road,Alcester,B49 6PX,409300,257720,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,7074.23,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,1178721.47,Not Currently Available,D
1.00071E+11,4010,Former St. Nicholas C.E. Primary School Annexe,Withheld,Withheld,Withheld,B49,0,0,Freehold,Vacant,Land with a permanent building,977.64,Sq.m,"Government, citizens and rights",To Follow,n/a,Not Currently Available,414231.85,Not Currently Available,n/a
1.0007E+11,4011,"(Caretaker's House), Alcester Grammar School (Ac)",6,Birmingham Road,"Ragley Mill Lane, Alcester",B49 5ES,408562,257731,Other,Vested in Trustees,Land with a permanent building,59.38,Sq.m,Housing,To Follow,n/a,Not Currently Available,2222.07,Not Currently Available,n/a
1.00071E+11,4012,Former Alcester Library,Withheld,Withheld,Withheld,B49,0,0,Freehold,Vacant,Land with a permanent building,534.16,Sq.m,"Government, citizens and rights",To Follow,n/a,Not Currently Available,80409.76,Not Currently Available,n/a
1.00071E+11,4016,Alcester Fire Station,,Seggs Lane,Alcester,B49 5HJ,408710,257340,Both Freehold & Leasehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,494.7,Sq.m,Community safety,To Follow,n/a,Not Currently Available,143598.37,Not Currently Available,n/a
10024634638,4023,Goldicote Cutting Nature Reserve,,Banbury Road,Goldicote,CV37 7NB,424890,250580,Freehold,Occupied by the Local Authority,Land only,1.1095,Hectares,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,4025,Wilmcote C.E. (Voluntary Aided) Primary School,,Church Road,Wilmcote,CV37 9XD,416410,257830,Other,Vested in Trustees,Land with a permanent building,624.14,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,176399.08,Not Currently Available,E
n/a,4026,Pathlow Gypsy Caravan Site,,Birmingham Road,Pathlow,CV37 0ES,418050,259050,Freehold,Occupied by the Local Authority,Land with a permanent building,501,Sq.m,Housing,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
10023382963,4028,Temple Herdewyke Primary School (Academy),,Falkland Place,Temple Herdewyke,CV47 2UD,438210,252070,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,742.04,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,59939.01,Not Currently Available,F
10024633378,4031,Burton Dassett Hills Country Park,,Bonfire Hill,Northend,CV47 2TX,439600,252000,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,67,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,19632.07,Not Currently Available,n/a
1.00071E+11,4035,Bishops Itchington Primary School (Academy),,Ladbroke Road,Bishops Itchington,CV47 2RN,439110,257750,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1351.59,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,498158.24,Not Currently Available,C
10024634639,4038,Land at Tower Hill Farm,,Grange Road,Bidford-On-Avon,B50 4BY,410642,251688,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,366.51,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,20725.63,Not Currently Available,n/a
1.0007E+11,4039,47 Grafton Lane (Tower Hill Farm),47,Grafton Lane,Bidford-On-Avon,B50 4DU,410564,252522,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,239.55,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,8163.15,Not Currently Available,n/a
1.0007E+11,4040,50 Tower Hill (Tower Hill Farm),50,Tower Hill,Bidford-On-Avon,B50 4DY,410545,252122,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,151.67,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,57.89,Not Currently Available,n/a
10023390610,4042,Land at Tower Hill Farm (Sports Playing Field),,The Leys,Bidford-On-Avon,B50 4DS,410360,252411,Freehold,Part or Wholly let out on a Leasehold or Licence,Land only,0.2002,Hectares,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
10023589890,4043,Wessons Farm,,Grafton Lane,Bidford-On-Avon,B50 4DU,410603,252753,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,2348.74,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,36782.8,Not Currently Available,n/a
1.00071E+11,4045,Famington Farm,,Georges Elm Lane,Bidford-On-Avon,B50 4JY,410675,253662,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,1177.21,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,204.34,Not Currently Available,n/a
1.00071E+11,4046,Sandhills Farm,,Georges Elm Lane,Bidford-On-Avon,B50 4JR,410025,253155,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,454.85,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,12313.32,Not Currently Available,n/a
10015389516,4047,Land at Broom Farm (Nurseries),213m,Bidford Road,Broom,B50 4HF,409201,252987,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,4681.57,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
10025226213,4048,Land at Broom Farm (East of Sandhills Farm),51m,Ryknild Street,Bidford-On-Avon,B50 4JR,410049,253172,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,712.44,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
n/a,4049,Land at Broom Allotments (Broom Farm),,Bidford Road,Bidford On Avon,B50 4HF,409520,253391,Freehold,Part or Wholly let out on a Leasehold or Licence,Land only,5.6106,Hectares,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
n/a,4050,Land at Broom Farm (South of Railway Line),,Victoria Road,Bidford On Avon,B50 4HQ,409312,252783,Freehold,Part or Wholly let out on a Leasehold or Licence,Land only,9.9817,Hectares,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
10023387178,4055,Bidford On Avon Fire Station,,Bramley Way,Bidford-On-Avon,B50 4QG,409880,251970,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,347.96,Sq.m,Community safety,To Follow,n/a,Not Currently Available,108682.37,Not Currently Available,n/a
2.00002E+11,4057,Brailes C.E. Primary School (Academy),,Main Street,"Lower Brailes, Brailes",OX15 5AP,430930,239370,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,756.39,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,182124.98,Not Currently Available,D
2.00002E+11,4060,Camperdown Farm,,Little Wolford Road,Cherington,CV36 5HS,428705,236310,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,2893.36,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
10023388346,4064,Claverdon Primary School,,Langley Road,Claverdon,CV35 8QA,419340,264660,Freehold,Occupied by the Local Authority,Land with a permanent building,1012.42,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,289108.41,Not Currently Available,D
1.00071E+11,4067,Coughton C.E. Primary School (Academy),,Coughton Lane,Coughton,B49 5HN,407940,260250,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,803.46,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,39923.85,Not Currently Available,D
1.00071E+11,4069,Ettington C.E. Primary School,,Churchill Close,Ettington,CV37 7SP,426990,248970,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,913.58,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,230093.51,Not Currently Available,F
1.00071E+11,4073,The Dassett C.E. Primary School,,Memorial Road,Fenny Compton,CV47 2XU,441760,252270,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1074.42,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,310196.69,Not Currently Available,n/a
1.00071E+11,4074,Fenny Compton Fire Station,,Memorial Road,Fenny Compton,CV47 2XU,441650,252340,Freehold,Occupied by the Local Authority,Land with a permanent building,156.06,Sq.m,Community safety,To Follow,n/a,Not Currently Available,25853.18,Not Currently Available,n/a
1.00072E+11,4077,Lighthorne Heath Primary School,,Stratford Road,Lighthorne Heath,CV33 9TW,434920,255960,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1206.7,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,159040.18,Not Currently Available,E
1.00071E+11,4079,Great Alne Primary School,,School Road,Great Alne,B49 6HQ,411150,259130,Freehold,Occupied by the Local Authority,Land with a permanent building,720.63,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,142436.31,Not Currently Available,E
2.00002E+11,4080,Pineham Farm,,Bush Heath Road,Harbury,CV33 9NW,437360,259298,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,1206.8,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,67406.06,Not Currently Available,n/a
10024634641,4081,Land at Pineham Farm (Harbury Allotments),,South Parade,Harbury,CV33 9JF,437406,259579,Freehold,Part or Wholly let out on a Leasehold or Licence,Land only,1.2585,Hectares,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,4082,Whitegates Farm,,Chesterton Road,Harbury,CV33 9NH,436182,259586,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,1495.2,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,40206.3,Not Currently Available,n/a
1.00071E+11,4083,Harbury CE Primary School,,Mill Street,Harbury,CV33 9HR,437090,259910,Freehold,Occupied by the Local Authority,Land with a permanent building,1415.42,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,376331.04,Not Currently Available,D
10023583406,4086,Tudor Grange Academy (Academy),,Pelham Lane,Haselor,B49 6LU,412010,257840,Other,Vested in Trustees,Land with a permanent building,733.28,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,99581.04,Not Currently Available,C
10023388350,4089,Henley-In-Arden High School (Academy),,Stratford Road,Henley-In-Arden,B95 6AF,415160,265400,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,5577.94,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,1021813.54,Not Currently Available,E
10023589321,4090,Venture Academy (Academy),,Stratford Road,Henley-In-Arden,B95 6AD,415150,265310,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1122.82,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,168159.68,Not Currently Available,E
10023384529,4091,Henley in Arden Community Youth Centre,,Warwick Road,Henley-In-Arden,B95 6AF,415210,265480,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,154.17,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,4092,Henley-in-Arden CE (VA) Primary School (Academy),,Arden Road,Henley-In-Arden,B95 5FT,415520,265950,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1287.97,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,386579.85,Not Currently Available,D
1.00071E+11,4093,St Mary's Catholic Primary School,,Arden Road,Henley-In-Arden,B95 5FT,415470,265940,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,644.31,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,250591.6,Not Currently Available,E
1.00071E+11,4097,Henley-In-Arden Fire Station,,Station Road,Henley-In-Arden,B95 5JP,415104,266232,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,593.59,Sq.m,Community safety,To Follow,n/a,Not Currently Available,63526.4,Not Currently Available,B
10023589191,4099,Henley-In-Arden Highways Sub-Depot,,Buckley Green Lane,"Buckley Green, Beaudesert",B95 5QE,415640,267330,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,663.28,Sq.m,"Government, citizens and rights",To Follow,n/a,Not Currently Available,379261.36,Not Currently Available,n/a
1.00072E+11,4100,Hampton Lucy C.E. Primary School,,Church Street,Hampton Lucy,CV35 8BE,425630,257060,Freehold,Occupied by the Local Authority,Land with a permanent building,691.54,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,57600,Not Currently Available,D
1.00072E+11,4102,Mabels Farm,,Back Street,Ilmington,CV36 4LJ,421128,243825,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,1168.34,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,56489.16,Not Currently Available,n/a
1.00072E+11,4103,Wharf Farm,,Darlingscote Road,Ilmington,CV36 4PJ,422094,243617,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,1275.24,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,323.68,Not Currently Available,n/a
1.00071E+11,4105,Ilmington C.E. Primary School,,Back Street,Ilmington,CV36 4LJ,420970,243670,Freehold,Occupied by the Local Authority,Land with a permanent building,699.43,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,58425.24,Not Currently Available,E
1.00071E+11,4108,Kineton High School (Academy) Sp.Sports College,,Banbury Road,Kineton,CV35 0JX,434150,251050,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,9469.15,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,1179421.04,Not Currently Available,"B, E"
1.00071E+11,4110,Kineton C. of E. (Voluntary Aided) Primary School,,King Johns Road,Kineton,CV35 0HS,433400,251200,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1484.01,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,350862.82,Not Currently Available,E
1.00071E+11,4115,River Meadows Care Home,,Warwick Road,Kineton,CV35 0HN,433220,251060,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,0,Sq.m,"Government, citizens and rights",To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
10024634642,4117,Kinwarton Roads Storage Site,,Captains Hill,Kinwarton,B49 6HA,410370,258690,Freehold,Occupied by the Local Authority,Land only,0.2839,Hectares,Transport and highways,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
10023584501,4119,Butlers Road Farm (West),,Butlers Lane,Long Compton,CV36 5LQ,428953,232510,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,2666.87,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,52930.63,Not Currently Available,n/a
1.00071E+11,4120,Butlers Road Farm (East),,Butlers Road,Long Compton,CV36 5JZ,430383,231879,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,2623.71,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,33799.08,Not Currently Available,n/a
10023590003,4121,Butlers Road Farm Cottage (Butlers Road Farm West),,Butlers Lane,Long Compton,CV36 5JZ,428938,232508,Freehold,Part or Wholly let out on a Leasehold or Licence,Land with a permanent building,121.21,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,5197.56,Not Currently Available,n/a
1.00071E+11,4125,Acorns Primary School (Academy),,Shipston Road,Long Compton,CV36 5LA,428900,232550,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,662.45,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,290478.19,Not Currently Available,E
10024634676,4127,Land at Grange Farm,,Oxford Road,Long Itchington,CV47 9QB,441053,267066,Freehold,Part or Wholly let out on a Leasehold or Licence,Land only,12.2403,Hectares,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
10023586235,4128,Footpath at Church Road,,Church Road,Long Itchington,CV47 9PN,441201,265189,Freehold,Occupied by the Local Authority,Land only,0.0271,Hectares,"Government, citizens and rights",To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,4129,Long Itchington C.E. Primary School (Academy),,Stockton Road,Long Itchington,CV47 9QP,442050,264910,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,1368.87,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,268066.29,Not Currently Available,D
10024634710,4130,Stratford Upon Avon The Greenway,,Wyre Lane,Stratford-Upon-Avon,CV37 8RQ,415760,248500,Freehold,Part or Wholly let out on Leasehold or Licence,Land with a permanent building,171,Sq.m,Environmental protection,To Follow,n/a,Not Currently Available,0,Not Currently Available,n/a
1.00071E+11,4131,Loxley C.E. Primary School,,Main Road,Loxley,CV35 9JT,425650,252610,Other,Vested in Trustees,Land with a permanent building,265.98,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,68238.2,Not Currently Available,F
10024634681,4132,Land at Duffus Hill (Moreton Morrell Allotments),,Moreton Road,Moreton Morrell,CV35 9AR,431060,255880,Freehold,Part or Wholly let out on a Leasehold or Licence,Land only,0.1619,Hectares,Environmental protection,To Follow,Yes,Not Currently Available,0,Not Currently Available,n/a
10024634682,4133,Land at Brook Lane,,Brook Lane,Moreton Morrell,CV35 9AT,431528,255914,Freehold,Part or Wholly let out on a Leasehold or Licence,Land only,4.5575,Hectares,Environmental protection,To Follow,Yes,Not Currently Available,0,Not Currently Available,n/a
10023581195,4135,Moreton Morrell C.E. Primary School (Foundation),,Moreton Road,Moreton Morrell,CV35 9AN,431170,255820,Other,Vested in Trustees,Land with a permanent building,541.77,Sq.m,Education and learning,To Follow,n/a,Not Currently Available,219944.22,Not Currently Available,F
