INSPECTOR,EDUCATION_AREA,DISTRICT_AREA_DESC,DFES,TYPE,PHASE,SCHOOL_NAME,Headteacher,ACTING,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,POST_CODE,TEL_NO,EXTRA_TELEPHONE,FAX,E_MAIL,COST_CODE,START_AGE,LEAVE_AGE,GOVERNANCE_DESC,SCH_DELIVERY_NO,CLOSED
William Poulton,Central,Warwick,3545,Primary,Primary,St. Mary Immaculate Catholic Primary School,Mr. Robert Gargan,,WATHEN ROAD,,WARWICK,WARWICKSHIRE,CV34 5BG,(01926) 493959,(07714) 091130,(01926) 410592,admin3545@we-learn.com,C53,4,11,Voluntary Aided,D30,N
Claire Robinson,Southern,Stratford on Avon,3508,Primary,Primary,"St. Mary's Catholic Primary School, Henley in Arden",Mrs. Elizabeth Taylor,,ARDEN ROAD,,HENLEY-IN-ARDEN,WARWICKSHIRE,B95 5LT,(01564) 792316,,,admin3508@we-learn.com,F20,4,11,Voluntary Aided,C51,N
Pauline Barker,Central,Stratford on Avon,3505,Primary,Primary,"St. Mary's Catholic Primary School, Southam",Mr. Mitchell Jones,,DAVENTRY ROAD,,SOUTHAM,WARWICKSHIRE,CV47 1PS,(01926) 812512,,(01926) 812521,admin3505@we-learn.com,C46,4,11,Voluntary Aided,A13,N
Martin Lester,Southern,Stratford on Avon,3507,Primary,Primary,"St. Mary's Catholic Primary School, Studley",Mrs. Mary Johnson,,POOL ROAD,,STUDLEY,WARWICKSHIRE,B80 7QU,(01527) 852140,,(01527) 853807,admin3507@we-learn.com,F44,4,11,Voluntary Aided,C44,N
Peter Rayers,Eastern,Rugby,3213,Primary,Primary,St. Matthew's Bloxam C.Of E. Primary School,Mrs Suki Owers,,WEBB ELLIS ROAD,,RUGBY,WARWICKSHIRE,CV22 7AU,(01788) 542610,,(01788) 540461,admin3213@we-learn.com,D52,4,11,Voluntary Controlled,A59,N
Jeanne Monkton,Nuneaton & Bedworth,Nuneaton and Bedworth,2641,Primary,Primary,St. Michael's C.Of E. Primary School,Mrs. Rosemary Bird,,HAZEL GROVE,,BEDWORTH,WARWICKSHIRE,CV12 9DA,(024) 7631 3204,,(024) 7664 3193,admin2641@we-learn.com,E27,4,11,Voluntary Aided,B63,N
Margaret Heard,Southern,Stratford on Avon,3595,Primary,Primary,"St. Nicholas' C. Of E. Primary School, Alcester",Mrs. Sally Staley,,ST. FAITH'S ROAD,,ALCESTER,WARWICKSHIRE,B49 6AG,(01789) 762578,,(01789) 400503,admin3595@we-learn.com,F65,4,11,Community,C36,N
Phil Robbins,Central,Warwick,3146,Primary,Primary,"St. Nicholas C.Of E. Primary School, Kenilworth",Mrs. Louise Mohacsi,,THE BLUNDELLS,,KENILWORTH,WARWICKSHIRE,CV8 2PE,(01926) 853257,,,admin3146@we-learn.com,C18,4,11,Community,D60,N
Declan McCauley,Nuneaton & Bedworth,Nuneaton and Bedworth,3592,Primary,Primary,St. Nicolas C.Of E. (Voluntary Aided) Primary School,Mr. Christopher Edwards,,WINDERMERE AVENUE,,NUNEATON,WARWICKSHIRE,CV11 6HJ,(024) 7638 2583,,,admin3592@we-learn.com,E72,4,11,Voluntary Aided,B42,N
Peter Rayers,Eastern,Rugby,3206,Primary,Primary,St. Oswald's C.Of E. Primary School,Mr. Stephen Winter,,ADDISON ROAD,,RUGBY,WARWICKSHIRE,CV22 7DJ,(01788) 543882,,,admin3206@we-learn.com,D31,4,11,Voluntary Controlled,A28,N
Brenda Iles,Central,Warwick,3543,Primary,Primary,St. Patrick's Catholic Primary School,Ms. Karen Ferguson,,CASHMORE AVENUE,,LEAMINGTON SPA,WARWICKSHIRE,CV31 3EU,(01926) 425958,,,admin3543@we-learn.com,C30,4,11,Voluntary Aided,D19,N
Brenda Iles,Central,Warwick,3371,Primary,Primary,"St. Paul's C.Of E. Primary School, Leamington Spa",Mr. Peter Farrell,,UPPER HOLLY WALK,,LEAMINGTON SPA,WARWICKSHIRE,CV32 4JZ,(01926) 425361,,,admin3371@we-learn.com,C31,4,11,Voluntary Aided,D41,N
Micheal Theobalds,Nuneaton & Bedworth,Nuneaton and Bedworth,3106,Primary,Primary,"St. Paul's C.Of E. Primary School, Nuneaton",Mr. Christopher Plant,,WICLIF WAY,STOCKINGFORD,NUNEATON,WARWICKSHIRE,CV10 8NH,(024) 7638 3323,,,admin3106@we-learn.com,E75,4,11,Voluntary Controlled,B26,N
Brenda Iles,Central,Warwick,3542,Primary,Primary,St. Peter's Catholic Primary School,Mrs. Maria Murphy,,AUGUSTA PLACE,,LEAMINGTON SPA,WARWICKSHIRE,CV32 5EL,(01926) 427497,,,admin3542@we-learn.com,C32,4,11,Voluntary Aided,D40,N
Jackie Beere,Nuneaton & Bedworth,Nuneaton and Bedworth,4803,Secondary,Secondary,St. Thomas More Catholic School and Technology College,Mr. Martin Moore,,GREENMOOR ROAD,,NUNEATON,WARWICKSHIRE,CV10 7EX,(024) 7664 2400,,(024) 7632 1919,saintthomasmore@hotmail.co.uk,P15,11,16,Voluntary Aided,B35,N
Debbie Hibberd,Nuneaton & Bedworth,Nuneaton and Bedworth,1041,Nursery,Nursery,Stockingford Early Years Centre,Mrs. Ann Clay,,ST. PAUL'S ROAD,STOCKINGFORD,NUNEATON,WARWICKSHIRE,CV10 8HW,(024) 7638 3708,,(024) 7638 3708,admin1041@we-learn.com,B05,2,3,Community,B28,N
Michael Theobalds,Nuneaton & Bedworth,Nuneaton and Bedworth,2121,Infant,Primary,Stockingford Infant School,Mrs. Gwyneth Evans,,CROSS STREET,,NUNEATON,WARWICKSHIRE,CV10 8JH,(024) 7638 2277,,(024) 7632 6185,admin2121@we-learn.com,E73,4,7,Community,B29,N
Michael Theobalds,Nuneaton & Bedworth,Nuneaton and Bedworth,2120,Junior,Primary,Stockingford Junior School,Mr. Kevin Smart,,GROVE ROAD,STOCKINGFORD,NUNEATON,WARWICKSHIRE,CV10 8JY,(024) 7638 2167,,(024) 7664 2310,admin2120@we-learn.com,E74,7,11,Community,B30,N
Pauline Barker,Central,Stratford on Avon,2049,Primary,Primary,Stockton Primary School,Mrs. Lucie Buran,,SCHOOL STREET,STOCKTON,RUGBY,WARWICKSHIRE,CV47 8JE,(01926) 812483,,(01926) 812483,admin2049@we-learn.com,C47,4,11,Community,A15,N
Tony Salmon,Southern,Stratford on Avon,4002,Secondary,Secondary,Stratford-upon-Avon Grammar School for Girls A Specialist College for Language and Science,Ms. Kathryn Barnett,,SHOTTERY MANOR,SHOTTERY,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 9HA,(01789) 293759,,(01789) 264572,admin4002@we-learn.com,Q08,11,18,Community,C27,N
Lesley Sullivan,Southern,Stratford on Avon,4124,Secondary,Secondary,"Stratford-upon-Avon High School, A Maths and Computing Specialist College",Mr. David Williams,,ALCESTER ROAD,,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 9DH,(01789) 268051,,(01789) 261919,staff@stratfordhigh.org.uk,Q09,11,18,Community,C25,N
Paula Protherough,Southern,Stratford on Avon,2050,Primary,Primary,Stratford-upon-Avon Primary School,Mrs. Pamela Vaughan,,BROAD STREET,,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 6HN,(01789) 293201,,(01789) 262493,admin2050@we-learn.com,F39,4,11,Community,C17,N
Martin Lester,Southern,Stratford on Avon,5408,Secondary,Secondary,"Studley High School, Humanities and Music College",Mrs. Elaine Young,,CROOKS LANE,,STUDLEY,WARWICKSHIRE,B80 7QX,(01527) 852478,,(01527) 854469,office@studleyhighschool.org.uk,W08,11,16,Foundation,C45,N
Tony Salmon,Southern,Stratford on Avon,2055,Infant,Primary,Studley Infant School,Mrs. Deborah Price,,HIGH STREET,,STUDLEY,WARWICKSHIRE,B80 7HJ,(01527) 852491,,(01527) 852607,admin2055@we-learn.com,F43,4,7,Community,C46,N
Martin Lester,Southern,Stratford on Avon,3310,Junior,Primary,Studley St. Mary's C.Of E. Junior School,Mr. Richard Lee,,NEW ROAD,,STUDLEY,WARWICKSHIRE,B80 7ND,(01527) 852153,,,admin3310@we-learn.com,F42,7,11,Voluntary Aided,C43,N
Thomas Daley,Central,Warwick,2622,Primary,Primary,Sydenham Primary School,Mrs. Juliette Westwood,,CALDER WALK,SYDENHAM FARM ESTATE,LEAMINGTON SPA,WARWICKSHIRE,CV31 1SA,(01926) 339138,,(01926) 435291,admin2622@we-learn.com,C67,4,11,Community,D13,N
Claire Robinson,Southern,Stratford on Avon,3311,Primary,Primary,Tanworth-In-Arden C.Of E. Primary School,Mr. Philip Jones,,THE GREEN,,TANWORTH-IN-ARDEN,WARWICKSHIRE,B94 5AJ,(01564) 742284,,,admin3311@we-learn.com,F45,4,11,Voluntary Aided,C54,N
Pauline Barker,Central,Warwick,2326,Infant,Primary,Telford Infant School,Mrs. Alison Foster,,KELVIN ROAD,LILLINGTON,LEAMINGTON SPA,WARWICKSHIRE,CV32 7TE,(01926) 425544,,(01926) 313835,admin2326@we-learn.com,C35,4,7,Community,D49,N
Pauline Barker,Central,Warwick,2315,Junior,Primary,Telford Junior School,Mr. Richard Siviter,,TELFORD AVENUE,LILLINGTON,LEAMINGTON SPA,WARWICKSHIRE,CV32 7HP,(01926) 424664,,(01926) 422417,admin2315@we-learn.com,C36,7,11,Community,D50,N
Judith Jones,Southern,Stratford on Avon,3066,Primary,Primary,Temple Grafton C.Of E. Primary School,Mrs. Susan Molloy,,TEMPLE GRAFTON,,ALCESTER,WARWICKSHIRE,B49 6NU,(01789) 772384,,(01789) 490869,admin3066@we-learn.com,F46,4,11,Voluntary Controlled,C30,N
Linda Stock,Southern,Stratford on Avon,2610,Primary,Primary,Temple Herdewyke Primary School,Mrs. Margaret Godfrey,,FALKLAND PLACE,TEMPLE HERDEWYKE,SOUTHAM,WARWICKSHIRE,CV47 2UD,(01926) 641316,,,admin2610@we-learn.com,F47,4,11,Community,A6,N
Pamela Hutchison,Eastern,Rugby,5400,Secondary,Secondary,The Avon Valley School and Performing Arts College,Mr. Donald O'Neill,,NEWBOLD ROAD,,RUGBY,WARWICKSHIRE,CV21 1EH,(01788) 542355,(01788) 572050,(01788) 572050,admin@avonvalleyschool.org,W01,11,16,Foundation,A31,N
Chris Hunt,North Warwickshire,North Warwickshire,4233,Secondary,Secondary,The Coleshill School - a Maths and Computing College,Ms. Ann Dudgeon,,COVENTRY ROAD,COLESHILL,BIRMINGHAM,WEST MIDLANDS,B46  3EX,(01675) 462435,,(01675) 465232,enquiries@thecoleshillschool.org.uk,P04,11,18,Community,B85,N
Linda Stock,Southern,Stratford on Avon,3216,Primary,Primary,The Dassett C.Of E. Primary School,Mrs. Barbara Williams-Cooke,,MEMORIAL ROAD,FENNY COMPTON,SOUTHAM,WARWICKSHIRE,CV47 2XU,(01295) 770267,,,admin3216@we-learn.com,F60,4,11,Voluntary Controlled,A7,N
William Poulton,Central,Warwick,3210,Primary,Primary,The Ferncumbe C.Of E. Primary School,Mrs. Chris Edmunds,,THE GREEN,HATTON,WARWICK,WARWICKSHIRE,CV35 7EX,(01926) 484318,,,admin3210@we-learn.com,C62,4,11,Voluntary Controlled,D2,N
Lesley Sullivan,Nuneaton & Bedworth,Nuneaton and Bedworth,5409,Secondary,Secondary,The George Eliot School,Mr. David James,,RAVELOE DRIVE,CALDWELL,NUNEATON,WARWICKSHIRE,CV11 4QP,(024) 7674 4000,,(024) 7674 1530,info@george-eliot.warwickshire.sch.uk,P11,11,16,,B50,N
Jackie Beere,Nuneaton & Bedworth,Nuneaton and Bedworth,1100,PRU,PRU,The Keresley Teaching and Learning Centre (formerly Northern Area PRU),Pauline Fell (NB) and Dilbir Sahota (NW),,BENNETTS ROAD NORTH,KERESLEY END,COVENTRY,WEST MIDLANDS,CV7 8LA,(024) 76338583,,(024) 76335805,"paulinefell@warwickshire.gov.uk, dilbirsahota@warwickshire.gov.uk",n/a,4,19,,,N
Jackie Beere,Eastern,Rugby,1102,PRU,PRU,The Merttens Teaching and Learning Centre (formerly Eastern Area PRU),Jane Halliday,,MERTTENS DRIVE,,RUGBY,WARWICKSHIRE,CV22 7AE,(01788) 578345,,(01788) 578345,janehalliday@warwickshire.gov.uk,n/a,4,19,,,N
Dorothy Rickarby,North Warwickshire,North Warwickshire,3209,Primary,Primary,The Nethersole C.Of E. Primary School,Mr. Neil Lord,,HIGH STREET,POLESWORTH,TAMWORTH,STAFFORDSHIRE,B78 1DZ,(01827) 892363,(01827) 899067,(01827) 892363,admin3209@we-learn.com,E97,4,11,Community,B4,N
Brian Worrall,North Warwickshire,North Warwickshire,4112,Secondary,Secondary,The Polesworth School - A Specialist Language College,Mr. Philip Hamilton,,DORDON ROAD,DORDON,TAMWORTH,STAFFORDSHIRE,B78 1QT,(01827) 702205,,(01827) 702206,admin@thepolesworthschool.com,P16,11,18,Community,B5,N
Jackie Beere,Central,Warwick,1105,PRU,PRU,The Pound Lane Teaching and Learning Centre (formerly Warwickshire PRU),Jas Gill,,POUND LANE,LILLINGTON,LEAMINGTON SPA,WARWICKSHIRE,CV32 7RT,(01926) 335421,,(01926) 431081,jasgill@warwickshire.gov.uk,n/a,4,19,,,N
Sue Bailey,Eastern,Rugby,3593,Primary,Primary,The Revel C.Of E. (Aided) Primary School,Mrs. Jill Thomlinson,,BROCKHURST LANE,MONKS KIRBY,RUGBY,WARWICKSHIRE,CV23 0RA,(01788) 832264,,(01788) 833526,admin3593@we-learn.com,D51,4,11,Voluntary Aided,A62,N
Jackie Beere,Southern,Stratford on Avon,1106,PRU,PRU,The Seymour Teaching and Learning Centre (formerly Southern Area PRU),Saj Zaidi,,SCHOOL ROAD,GREAT ALNE,,WARWICKSHIRE,B49 6HQ,(01789) 488708,,(01789) 488922,sajzaidi@warwickshire.gov.uk,n/a,4,19,,,N
Paula Protherough,Southern,Stratford on Avon,3204,Primary,Primary,The Willows C.Of E. Primary School,Mrs. Janis McBride,,THE WILLOWS NORTH,,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 9QN,(01789) 205811,,,admin3204@we-learn.com,F38,4,11,Voluntary Controlled,C26,N
Paula Protherough,Southern,Stratford on Avon,2052,Primary,Primary,Thomas Jolyffe Primary School,Mr. Michael Cocker,,CLOPTON ROAD,,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 6TE,(01789) 267015,,(01789) 267201,admin2052@we-learn.com,F41,4,11,Community,C20,N
Pauline Barker,Central,Warwick,2307,Infant,Primary,Thorns Community Infant School,Mrs. Elizabeth Bradbury,,BLACKTHORN ROAD,,KENILWORTH,WARWICKSHIRE,CV8 2DS,(01926) 853875,,(01926) 853875,admin2307@we-learn.com,C19,4,7,Community,D56,N
Lynda Jones,Central,Warwick,4752,Secondary,Secondary,Trinity Catholic School - A Specialist Arts and Technology College,Dr. James Ferguson,,GUY'S CLIFFE AVENUE,,LEAMINGTON SPA,WARWICKSHIRE,CV32 6NB,(01926) 428416,,(01926) 462928,schooloffice@trinity.warwickshire.sch.uk,M12,11,18,Voluntary Aided,D36,N
Linda Stock,Southern,Stratford on Avon,3068,Primary,Primary,Tysoe C.Of E. Primary School,Mr. David Taylor,,SADDLETON STREET,TYSOE,WARWICK,WARWICKSHIRE,CV35 0SH,(01295) 680244,,(01295) 680244,admin3068@we-learn.com,F49,4,11,Voluntary Controlled,A5,N
Dorothy Rickarby,North Warwickshire,North Warwickshire,3072,Primary,Primary,Warton Nethersole's C.Of E. Primary School,Mrs. Margaret Knuckey,,MAYPOLE ROAD,WARTON,TAMWORTH,STAFFORDSHIRE,B79 0HP,(01827) 894182,,,admin3072@we-learn.com,E86,4,11,Voluntary Controlled,B3,N
Debbie Hibberd,Central,Warwick,1022,Nursery,Nursery,Warwick Children's Centre & Nursery School,Ms. Trudy Lindsay,31/08/2010,COVENTRY ROAD,,WARWICK,WARWICKSHIRE,CV34 4LJ,(01926) 492701,,(01926) 402264,admin1022@we-learn.com,A03,2,3,Community,D25,N
Dorothy Rickarby,North Warwickshire,North Warwickshire,2618,Primary,Primary,Water Orton Primary School,Mr. Carl Lewis,,ATTLEBOROUGH  LANE,WATER ORTON,BIRMINGHAM,WEST MIDLANDS,B46 1SB,(0121) 747 2851,,(0121) 7472851,admin2618@we-learn.com,E98,4,11,Community,B88,N
Declan McCauley,Nuneaton & Bedworth,Nuneaton and Bedworth,2632,Primary,Primary,Weddington Primary School,Mrs. Deborah Ward,,WINCHESTER AVENUE,,NUNEATON,WARWICKSHIRE,CV10 0DR,(024) 7634 0729,,(024) 7638 2478,admin2632@we-learn.com,E50,4,11,Community,B39,N
Pat Flynn,Southern,Stratford on Avon,7044,Special,Special,Welcombe Hills School,Mrs. Judith Humphry,,BLUE CAP ROAD,,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 6TQ,(01789) 266845,,(01789) 204121,admin7044@we-learn.com,L05,2,19,Community,C19,N
Margaret Heard,Southern,Stratford on Avon,2058,Primary,Primary,Welford-On-Avon Primary School,Mrs. Kathy Copely,,HEADLAND ROAD,WELFORD-ON-AVON,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 8ER,(01789) 750214,,,admin2058@we-learn.com,F51,4,11,Community,C29,N
Linda Stock,Southern,Stratford on Avon,3073,Primary,Primary,Wellesbourne C.Of E. Primary School,Ms. Lindsey Oscroft,,MOUNTFORD CLOSE,WELLESBOURNE,WARWICK,WARWICKSHIRE,CV35 9QG,(01789) 840311,,(01789) 841108,admin3073@we-learn.com,F52,4,11,Voluntary Controlled,C2,N
Adrienne Holland,Nuneaton & Bedworth,Nuneaton and Bedworth,2629,Primary,Primary,Wembrook Primary School,Mr. Simon Pearson,,AVENUE ROAD,,NUNEATON,WARWICKSHIRE,CV11 4LU,(024) 7638 2961,,(024) 7635 6317,admin2629@we-learn.com,E49,4,11,Community,B48,N
William Poulton,Central,Warwick,2322,Primary,Primary,Westgate Primary School,Mrs. Lynne Andrew,,BOWLING GREEN STREET,,WARWICK,WARWICKSHIRE,CV34 4DD,(01926) 492015,,(01926) 497783,head2322@we-learn.com,C54,4,11,Community,D26,N
Linda Thomas,Nuneaton & Bedworth,Nuneaton and Bedworth,2021,Primary,Primary,Wheelwright Lane Primary School,Mrs. Anne Reading,,WHEELWRIGHT LANE,ASH GREEN,COVENTRY,WEST MIDLANDS,CV7 9HN,(024) 7636 4505,,(024) 7636 4581,admin2021@we-learn.com,E37,4,11,Community,B73,N
Adrienne Holland,Nuneaton & Bedworth,Nuneaton and Bedworth,2123,Infant,Primary,Whitestone Infant School,Mrs. Georgina Gothard,,MAGYAR CRESCENT,,NUNEATON,WARWICKSHIRE,CV11 4SQ,(024) 7634 7813,,(024) 7638 8660,admin2123@we-learn.com,E79,4,7,Community,B55,N
Debbie Hibberd,Central,Warwick,1003,Nursery,Nursery,Whitnash Nursery School,Mrs. Karen Howell,,NURSERY LANE,WHITNASH,LEAMINGTON SPA,WARWICKSHIRE,CV31 2PW,(01926) 335312,,(01926) 778713,whitnashnursery@yahoo.co.uk,A04,2,3,Community,D11,N
Brenda Iles,Central,Warwick,2324,Primary,Primary,Whitnash Primary School,Mrs. Elizabeth Stanley,,LANGLEY ROAD,WHITNASH,LEAMINGTON SPA,WARWICKSHIRE,CV31 2EX,(01926) 426773,,(01926) 337755,admin2324@we-learn.com,C58,4,11,Community,D10,N
Judith Jones,Southern,Stratford on Avon,3313,Primary,Primary,Wilmcote C.Of E. (Voluntary Aided) Primary School,Mr. Mark Burrows,,CHURCH ROAD,WILMCOTE,STRATFORD-UPON-AVON,WARWICKSHIRE,CV37 9XD,(01789) 204395,,,admin3313@we-learn.com,F54,4,11,Voluntary Aided,C24,N
Sue Bailey,Eastern,Rugby,3192,Primary,Primary,Wolston St. Margaret's C.Of E. Primary School,Miss Julia McLeod,,MAIN STREET,WOLSTON,COVENTRY,WEST MIDLANDS,CV8 3HH,(024) 7654 2212,,(024) 7654 0183,admin3192@we-learn.com,D48,4,11,Voluntary Controlled,D69,N
Lynne Wilson-Leary,Southern,Stratford on Avon,5201,Primary,Primary,Wolverton Primary School,Mrs. Jill Knowles,,WOLVERTON FIELDS,NORTON LINDSEY,WARWICK,WARWICKSHIRE,CV35 8JN,(01926) 842214,,,admin5201@we-learn.com,T02,4,11,Foundation,D3,N
Linda Thomas,Nuneaton & Bedworth,Rugby,3193,Primary,Primary,Wolvey C.Of E. Primary School,Mr. Richard Moore,,BULKINGTON ROAD,WOLVEY,HINCKLEY,LEICESTERSHIRE,LE10 3LA,(01455) 220279,,,admin3193@we-learn.com,E89,4,11,Voluntary Controlled,B56,N
Dorothy Rickarby,North Warwickshire,North Warwickshire,2063,Primary,Primary,Wood End Primary School,Mr. Michael Goodfellow,,WOOD STREET,WOOD END,ATHERSTONE,WARWICKSHIRE,CV9 2QL,(01827) 872237,,(01827) 875437,admin2063@we-learn.com,E90,4,11,Community,B94,N
Sue Briggs,North Warwickshire,North Warwickshire,7047,Special,Special,Woodlands School,Mrs. Gillian Simpson,,PACKINGTON LANE,COLESHILL,BIRMINGHAM,WEST MIDLANDS,B46 3JE,(01675) 463590,,(01675) 463584,admin7047@we-learn.com,K06,2,19,Community,B83,N
Stephen McGlone,Central,Warwick,5207,Primary,Primary,Woodloes Primary School,Mr. Andrew Mitchell,,DEANSWAY,WOODLOES PARK,WARWICK,WARWICKSHIRE,CV34 5DF,(01926) 497491,,(01926) 497491,admin5207@we-learn.com,C73,4,11,,D32,N
Michael Hatfield,North Warwickshire,North Warwickshire,2642,Primary,Primary,Woodside C.Of E. Primary School,Ms. Awen Simpson,,MAYPOLE LANE,BADDESLEY ENSOR,ATHERSTONE,WARWICKSHIRE,CV9 2BS,(08127) 715507,,,admin2642@we-learn.com,E11,4,11,Voluntary Controlled,B9,N
Lynne Wilson-Leary,Southern,Stratford on Avon,3074,Primary,Primary,Wootton Wawen C.Of E. Primary School,Ms. Brigette Letts,,ALCESTER ROAD,WOOTTON WAWEN,SOLIHULL,WEST MIDLANDS,B95 6AY,(01564) 792574,,,woottonwawen@yahoo.co.uk,F56,4,11,Voluntary Controlled,C48,N
